id,subj2_war,subj2_adventure,subj2_comedy,subj2_biography,subj2_romance,subj2_drama,subj2_fantasy,subj2_family,subj2_sciencefiction,subj2_action,subj2_thriller,subj2_western,subj2_horror,subj2_mystery,subj2_crime,subj2_history,subj2_periodicals,subj2_others,speed,sentiment_avg,sentiment_vol,wordcount
PG10002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2241414,0.087370001,0.00270058,50831
PG10005,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22196563,0.13181999,0.003393669,70142
PG10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.38819912,0.18371999,0.001003209,13193
PG10007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.30165625,0.15722001,0.002895098,27980
PG10008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.20483807,0.10778,0.003655114,65421
PG10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24727224,0.13812,0.003503231,44090
PG10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.22152884,0.1903,0.004639433,50164
PG10024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24338019,0.14034,0.002940418,49162
PG10025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.23337372,0.11768,0.006189307,65492
PG10026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.40594372,0.12509,0.000687166,12396
PG10027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19058849,0.11382,0.002939272,71167
PG10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21757492,0.17283,0.004782655,65680
PG10038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15135418,0.11507,0.006257117,149555
PG10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19804817,0.16541,0.004629724,71802
PG10045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24997534,0.12564,0.002200027,36826
PG10046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.18807617,0.12179,0.004784255,91465
PG10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.22054893,0.1363,0.003577412,41792
PG10049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27646327,0.14582001,0.004030417,27185
PG10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27579117,0.16728,0.002902595,26733
PG10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24637832,0.13428,0.005182694,41720
PG10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25610742,0.12034,0.003088234,35310
PG10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19992973,0.12526,0.006020439,85052
PG10057,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.22149143,0.14015,0.003854909,50680
PG10059,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.22686775,0.14196,0.002826623,48105
PG10062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16303369,0.12716,0.00630858,140874
PG10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16167097,0.14611,0.00841793,173197
PG10066,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1858943,0.12163,0.00453939,79660
PG10067,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.21415074,0.12027,0.003786815,67663
PG10068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17379078,0.1193,0.004897667,90769
PG10070,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33748603,0.09313,0.003054984,27983
PG10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.42040205,0.13282999,0.000749656,12252
PG10076,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19538786,0.12288,0.005604249,76375
PG10081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22010477,0.10715,0.003598059,50315
PG10082,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.19740775,0.10462,0.005598275,107345
PG10084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20022777,0.08405,0.00269922,65472
PG10085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20926854,0.14532,0.009271935,90443
PG10086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.16751049,0.1109,0.004311345,85051
PG10087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26680255,0.11504,0.002128894,31060
PG10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25752032,0.1322,0.004630473,47907
PG10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19344036,0.12696999,0.005458771,80925
PG10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2012873,0.13094001,0.003904534,79944
PG10101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.27533054,0.1288,0.003760616,38711
PG10109,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21889929,0.12842,0.002934861,50244
PG10110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.19172378,0.14266001,0.004690416,64101
PG10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.22795075,0.14922,0.003779506,48942
PG10123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.21561915,0.15814,0.00305338,51026
PG10124,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.24976179,0.14347,0.003551565,42868
PG10127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.28480712,0.13469,0.002485136,31074
PG1013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.21860208,0.085179999,0.003490246,68083
PG10132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17659722,0.15087,0.006612374,106243
PG10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20253874,0.12975,0.004306538,70807
PG1014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.27693605,0.11356,0.002744986,28467
PG10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.20116417,0.15056001,0.003738657,63531
PG10149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.15354234,0.16644,0.007555745,153520
PG10150,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23143446,0.11178,0.004677477,56616
PG10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.23957536,0.1357,0.003795051,42334
PG10165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1864263,0.12754001,0.007596456,163460
PG1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.23792882,0.12642001,0.006285102,67454
PG102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24867244,0.13318001,0.004249801,52465
PG10201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1856668,0.12932,0.006843119,116964
PG10210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.18904272,0.1205,0.005793949,93760
